"CodFam","TipIns","AñoInd","MesInd","BCVInd"
"10","1","2001","12","15539,7"
"10","1","2002","4","234,82"
"10","1","2002","5","234,82"
"11","1","2001","3","11631,2"
"11","1","2001","4","11647"
"11","1","2001","5","11647"
"11","1","2001","6","11647"
"11","1","2001","7","12214,5"
"11","1","2001","8","12214,5"
"11","1","2001","9","12214,5"
"11","1","2001","10","12214,5"
"11","1","2001","11","12214,5"
"11","1","2001","12","12214,5"
"11","1","2002","4","314,12"
"11","1","2002","5","314,12"
"12","1","2001","3","10538"
"12","1","2001","4","10676"
"12","1","2001","5","10683,8"
"12","1","2001","6","10688,5"
"12","1","2001","7","10701,8"
"12","1","2001","8","10709"
"12","1","2001","9","10838,2"
"12","1","2001","10","10867"
"12","1","2001","11","10869"
"12","1","2001","12","10869"
"12","1","2002","4","256,37"
"12","1","2002","5","260,67"
"13","1","2001","3","7623,7"
"13","1","2001","4","7955"
"13","1","2001","5","7964,4"
"13","1","2001","6","7989,1"
"13","1","2001","7","8014,7"
"13","1","2001","8","8014,7"
"13","1","2001","9","8014,7"
"13","1","2001","10","8094,4"
"13","1","2001","11","8175,3"
"13","1","2001","12","8214"
"13","1","2002","4","229,22"
"13","1","2002","5","230,83"
"14","1","2001","3","8309,9"
"14","1","2001","4","8620"
"14","1","2001","5","8653,6"
"14","1","2001","6","8847,5"
"14","1","2001","7","8948,9"
"14","1","2001","8","8949,1"
"14","1","2001","9","8973,3"
"14","1","2001","10","9063,2"
"14","1","2001","11","9106,9"
"14","1","2001","12","9116,6"
"14","1","2002","4","187,06"
"14","1","2002","5","195,36"
"15","1","2001","3","7175,3"
"15","1","2001","4","7181,4"
"15","1","2001","5","7183,5"
"15","1","2001","6","7183,5"
"15","1","2001","7","7183,5"
"15","1","2001","8","7273"
"15","1","2001","9","7273"
"15","1","2001","10","7273"
"15","1","2001","11","7273"
"15","1","2001","12","7273"
"15","1","2002","4","283,89"
"15","1","2002","5","286,94"
"16","1","2001","3","8481,7"
"16","1","2001","4","8516,3"
"16","1","2001","5","8517,7"
"16","1","2001","6","8517,7"
"16","1","2001","7","8517,7"
"16","1","2001","8","9348,2"
"16","1","2001","9","9348,2"
"16","1","2001","10","9532,1"
"16","1","2001","11","9532,1"
"16","1","2001","12","9532,1"
"16","1","2002","4","210,67"
"16","1","2002","5","211,15"
"17","1","2001","3","21938,5"
"17","1","2001","4","22421,1"
"17","1","2001","5","22421,1"
"17","1","2001","6","22421,1"
"17","1","2001","7","22502,3"
"17","1","2001","8","22502,5"
"17","1","2001","9","22999,6"
"17","1","2001","10","25891,8"
"17","1","2001","11","25891,8"
"17","1","2001","12","25891,8"
"17","1","2002","4","223,59"
"17","1","2002","5","232,44"
"18","1","2001","3","19115,7"
"18","1","2001","4","19115,7"
"18","1","2001","5","19115,7"
"18","1","2001","6","19115,7"
"18","1","2001","7","19115,7"
"18","1","2001","8","19115,7"
"18","1","2001","9","19115,7"
"18","1","2001","10","21363"
"18","1","2001","11","21363"
"18","1","2001","12","21363"
"18","1","2002","4","147,52"
"18","1","2002","5","147,52"
"19","1","2001","3","6769,7"
"19","1","2001","4","6769,7"
"19","1","2001","5","6769,7"
"19","1","2001","6","6769,7"
"19","1","2001","7","6769,7"
"19","1","2001","8","6769,7"
"19","1","2001","9","6769,7"
"19","1","2001","10","6769,7"
"19","1","2001","11","6769,7"
"19","1","2001","12","6769,7"
"19","1","2002","4","130,58"
"19","1","2002","5","130,87"
"20","1","2001","3","8904,6"
"20","1","2001","4","9343,1"
"20","1","2001","5","9979,6"
"20","1","2001","6","9979,6"
"20","1","2001","7","9979,6"
"20","1","2001","8","10596"
"20","1","2001","9","10602,5"
"20","1","2001","10","10736"
"20","1","2001","11","10736"
"20","1","2001","12","10736"
"20","1","2002","4","230,16"
"20","1","2002","5","240,93"
"22","1","2001","3","7040"
"22","1","2001","4","7040"
"22","1","2001","5","7040"
"22","1","2001","6","7040"
"22","1","2001","7","7049,9"
"22","1","2001","8","7049,9"
"22","1","2001","9","7049,9"
"22","1","2001","10","7049,9"
"22","1","2001","11","7285,9"
"22","1","2001","12","7285,9"
"22","1","2002","4","169,97"
"22","1","2002","5","177,19"
"23","1","2001","3","4937,4"
"23","1","2001","4","4963,4"
"23","1","2001","5","4990"
"23","1","2001","6","5016,9"
"23","1","2001","7","5086,2"
"23","1","2001","8","5113,7"
"23","1","2001","9","5113,7"
"23","1","2001","10","5138,7"
"23","1","2001","11","5166,6"
"23","1","2001","12","5198,9"
"23","1","2002","4","198,28"
"23","1","2002","5","242,69"
"24","1","2001","3","8949,2"
"24","1","2001","4","8952,2"
"24","1","2001","5","8957"
"24","1","2001","6","8957,5"
"24","1","2001","7","8957,5"
"24","1","2001","8","8957,5"
"24","1","2001","9","8957,5"
"24","1","2001","10","8957,5"
"24","1","2001","11","8957,5"
"24","1","2001","12","8957,5"
"24","1","2002","4","165,66"
"24","1","2002","5","165,67"
"01","2","2001","3","6617,9"
"01","2","2001","4","6619,3"
"01","2","2001","5","6620,6"
"01","2","2001","6","6621,5"
"01","2","2001","7","6622,9"
"01","2","2001","8","6625,5"
"01","2","2001","9","6632,2"
"01","2","2001","10","6634,1"
"01","2","2001","11","6634,2"
"01","2","2001","12","6634,9"
"02","2","2001","3","35383,5"
"02","2","2001","4","35383,5"
"02","2","2001","5","35383,5"
"02","2","2001","6","35383,5"
"02","2","2001","7","36238"
"02","2","2001","8","36914,2"
"02","2","2001","9","37939,3"
"02","2","2001","10","37939,3"
"02","2","2001","11","40684,6"
"02","2","2001","12","40684,6"
"03","2","2001","3","35383,5"
"03","2","2001","4","35383,5"
"03","2","2001","5","35383,5"
"03","2","2001","6","35383,5"
"03","2","2001","7","36238"
"03","2","2001","8","36914,2"
"03","2","2001","9","37939,3"
"03","2","2001","10","37939,3"
"03","2","2001","11","40684,6"
"03","2","2001","12","40684,6"
"01","3","2001","1","26746,15"
"01","3","2001","2","26746,15"
"01","3","2001","3","26746,15"
"01","3","2001","4","26746,15"
"01","3","2001","5","33289,4"
"01","3","2001","6","33289,4"
"01","3","2001","7","33289,4"
"01","3","2001","8","33289,4"
"01","3","2001","9","33289,4"
"01","3","2001","10","33289,4"
"01","3","2001","11","33289,4"
"01","3","2001","12","33289,4"
"01","3","2002","1","33289,4"
"01","3","2002","2","33289,4"
"01","3","2002","3","33289,4"
"01","3","2002","4","33289,4"
"01","1","1995","1","4349,8"
"01","1","1995","2","4479"
"01","1","1995","3","4666,2"
"01","1","1995","4","4667,1"
"01","1","1995","5","4810,9"
"01","1","1995","6","4855,2"
"01","1","1995","7","4883,9"
"01","1","1995","8","4893,1"
"01","1","1995","9","4907,8"
"01","1","1995","10","4908,3"
"01","1","1995","11","4936,8"
"01","1","1995","12","6251"
"01","1","1996","1","7936,3"
"01","1","1996","2","8670,4"
"01","1","1996","3","8737,2"
"01","1","1996","4","10456,7"
"01","1","1996","5","12800"
"01","1","1996","6","12750,1"
"01","1","1996","7","12750,1"
"01","1","1996","8","13239,1"
"01","1","1996","9","13225,9"
"01","1","1996","10","13329,1"
"01","1","1996","11","13466,4"
"01","1","1996","12","13474,5"
"01","1","1997","1","100"
"01","1","1997","2","100"
"01","1","1997","3","100"
"01","1","1997","4","100"
"01","1","1997","5","100"
"01","1","1997","6","100"
"01","1","1997","7","100"
"01","1","1997","8","100"
"01","1","1997","9","100"
"01","1","1997","10","100"
"01","1","1997","11","100"
"01","1","1997","12","100"
"01","1","1998","1","15090,3"
"01","1","1998","2","15199"
"01","1","1998","3","15283,8"
"01","1","1998","4","15728,6"
"01","1","1998","5","16326,3"
"01","1","1998","6","16439"
"01","1","1998","7","16642,8"
"01","1","1998","8","16699,4"
"01","1","1998","9","16976,6"
"01","1","1998","10","17168,4"
"01","1","1998","11","17185,6"
"01","1","1998","12","17232"
"01","1","1999","1","17283,7"
"01","1","1999","2","17301"
"01","1","1999","3","17330,4"
"01","1","1999","4","17330,4"
"01","1","1999","5","17554"
"01","1","1999","6","17548,2"
"01","1","1999","7","17781,6"
"01","1","1999","8","17785,2"
"01","1","1999","9","17815,4"
"01","1","1999","10","17849,2"
"01","1","1999","11","18220,5"
"01","1","1999","12","16420,4"
"01","1","2000","1","16442,1"
"01","1","2000","2","16662,2"
"01","1","2000","3","16662,6"
"01","1","2000","4","17009,6"
"01","1","2000","5","17114,8"
"01","1","2000","6","17163,2"
"01","1","2000","7","17186,9"
"01","1","2000","8","17451,2"
"01","1","2000","9","17522,3"
"01","1","2000","10","17680,1"
"01","1","2000","11","17743,1"
"01","1","2000","12","17925,3"
"01","1","2001","1","18091,7"
"01","1","2001","2","18166,6"
"01","2","1996","1","2844,1"
"01","2","1996","2","3240,1"
"01","2","1996","3","3240,1"
"01","2","1996","4","3715,4"
"01","2","1996","5","4053"
"01","2","1996","6","4077,9"
"01","2","1996","7","4078,3"
"01","2","1996","8","4327,7"
"01","2","1996","9","4338,4"
"01","2","1996","10","4194,6"
"01","2","1996","11","4225,7"
"01","2","1996","12","4256,7"
"01","2","1997","1","100"
"01","2","1997","2","100"
"01","2","1997","3","100"
"01","2","1997","4","100"
"01","2","1997","5","100"
"01","2","1997","6","100"
"01","2","1997","7","100"
"01","2","1997","8","100"
"01","2","1997","9","100"
"01","2","1997","10","100"
"01","2","1997","11","100"
"01","2","1997","12","100"
"01","2","1998","1","4533,9"
"01","2","1998","2","4661,6"
"01","2","1998","3","4703,4"
"01","2","1998","4","4706,5"
"01","2","1998","5","4718"
"01","2","1998","6","4721,5"
"01","2","1998","7","5240,9"
"01","2","1998","8","5443,9"
"01","2","1998","9","5610,1"
"01","2","1998","10","5610,1"
"01","2","1998","11","5726,3"
"01","2","1998","12","5726,3"
"01","2","1999","1","5726,3"
"01","2","1999","2","5739,7"
"01","2","1999","3","5739,9"
"01","2","1999","4","5783,4"
"01","2","1999","5","5891,3"
"01","2","1999","6","5998"
"01","2","1999","7","6113,8"
"01","2","1999","8","6226,8"
"01","2","1999","9","6351,1"
"01","2","1999","10","6463,2"
"01","2","1999","11","6479,8"
"01","2","1999","12","6480,2"
"01","2","2000","1","5606,9"
"01","2","2000","2","5882,8"
"01","2","2000","3","5994,7"
"01","2","2000","4","5995"
"01","2","2000","5","6003,9"
"01","2","2000","6","6144,6"
"01","2","2000","7","6147,9"
"01","2","2000","8","6151"
"01","2","2000","9","6417,3"
"01","2","2000","10","6435,4"
"01","2","2000","11","6436,7"
"01","2","2000","12","6437"
"01","2","2001","1","6441,1"
"01","2","2001","2","6453,7"
"01","3","1996","1","3190,49"
"01","3","1996","2","4440,49"
"01","3","1996","3","4440,49"
"01","3","1996","4","4440,49"
"01","3","1996","5","6360,97"
"01","3","1996","6","6360,97"
"01","3","1996","7","6360,97"
"01","3","1996","8","6360,97"
"01","3","1996","9","6360,97"
"01","3","1996","10","7502,45"
"01","3","1996","11","7350,06"
"01","3","1996","12","7260,58"
"01","3","1997","1","7260,58"
"01","3","1997","2","7260,58"
"01","3","1997","3","7260,58"
"01","3","1997","4","7260,58"
"01","3","1997","5","8279,2"
"01","3","1997","6","8853,77"
"01","3","1997","7","9715,63"
"01","3","1997","8","9715,63"
"01","3","1997","9","10325,65"
"01","3","1997","10","10325,65"
"01","3","1997","11","11140,1"
"01","3","1997","12","11140,1"
"01","3","1998","1","11140,1"
"01","3","1998","2","11140,1"
"01","3","1998","3","11140,1"
"01","3","1998","4","11140,1"
"01","3","1998","5","11140,1"
"01","3","1998","6","18362,8"
"01","3","1998","7","18362,8"
"01","3","1998","8","18362,8"
"01","3","1998","9","18362,8"
"01","3","1998","10","18362,8"
"01","3","1998","11","18362,8"
"01","3","1998","12","19881,12"
"01","3","1999","1","19881,1"
"01","3","1999","2","19881,1"
"01","3","1999","3","19881,1"
"01","3","1999","4","19881,2"
"01","3","1999","5","19881,2"
"01","3","1999","6","21478,48"
"01","3","1999","7","21478,48"
"01","3","1999","8","21478,48"
"01","3","1999","9","21478,48"
"01","3","1999","10","21478,48"
"01","3","1999","11","23420,16"
"01","3","1999","12","23420,16"
"01","3","2000","1","23420,16"
"01","3","2000","2","23420,16"
"01","3","2000","3","23420,16"
"01","3","2000","4","23420,16"
"01","3","2000","5","23420,16"
"01","3","2000","6","23420,16"
"01","3","2000","7","23420,16"
"01","3","2000","8","23420,16"
"01","3","2000","9","23420,16"
"01","3","2000","10","23420,2"
"01","3","2000","11","23420,2"
"01","3","2000","12","23420,2"
"02","1","1995","1","3716,1"
"02","1","1995","2","3716,1"
"02","1","1995","3","3716,1"
"02","1","1995","4","4166,1"
"02","1","1995","5","4293,2"
"02","1","1995","6","4240"
"02","1","1995","7","4176,4"
"02","1","1995","8","4191"
"02","1","1995","9","4193,9"
"02","1","1995","10","4541,6"
"02","1","1995","11","4547,5"
"02","1","1995","12","4547,5"
"02","1","1996","1","7057,3"
"02","1","1996","2","7434,2"
"02","1","1996","3","7434,2"
"02","1","1996","4","7892,1"
"02","1","1996","5","8903,9"
"02","1","1996","6","9025,9"
"02","1","1996","7","9590,9"
"02","1","1996","8","9950,8"
"02","1","1996","9","10046,3"
"02","1","1996","10","10256,3"
"02","1","1996","11","10260,4"
"02","1","1996","12","10677"
"02","1","1997","1","100"
"02","1","1997","2","100"
"02","1","1997","3","100"
"02","1","1997","4","100"
"02","1","1997","5","100"
"02","1","1997","6","100"
"02","1","1997","7","100"
"02","1","1997","8","100"
"02","1","1997","9","100"
"02","1","1997","10","100"
"02","1","1997","11","100"
"02","1","1997","12","100"
"02","1","1998","1","13359,5"
"02","1","1998","2","13574,6"
"02","1","1998","3","14418,9"
"02","1","1998","4","15031,7"
"02","1","1998","5","15321,8"
"02","1","1998","6","15321,8"
"02","1","1998","7","15923,9"
"02","1","1998","8","15923,9"
"02","1","1998","9","16310,9"
"02","1","1998","10","16312,5"
"02","1","1998","11","16526,2"
"02","1","1998","12","16597,3"
"02","1","1999","1","17289,4"
"02","1","1999","2","17294,6"
"02","1","1999","3","17294,6"
"02","1","1999","4","17294,6"
"02","1","1999","5","17455,4"
"02","1","1999","6","17306,2"
"02","1","1999","7","18299,5"
"02","1","1999","8","18299,5"
"02","1","1999","9","20361,9"
"02","1","1999","10","20374,1"
"02","1","1999","11","20551,4"
"02","1","1999","12","17722,8"
"02","1","2000","1","18895"
"02","1","2000","2","18895"
"02","1","2000","3","18895"
"02","1","2000","4","20181"
"02","1","2000","5","20185,6"
"02","1","2000","6","20190"
"02","1","2000","7","21159,4"
"02","1","2000","8","21159,4"
"02","1","2000","9","21676,1"
"02","1","2000","10","22044,1"
"02","1","2000","11","22723,5"
"02","1","2000","12","22723,5"
"02","1","2001","1","22895,1"
"02","1","2001","2","23590,8"
"02","2","1996","1","10380"
"02","2","1996","2","11194,7"
"02","2","1996","3","11194,7"
"02","2","1996","4","11194,7"
"02","2","1996","5","15246,9"
"02","2","1996","6","15246,9"
"02","2","1996","7","15246,9"
"02","2","1996","8","16631,1"
"02","2","1996","9","16832,6"
"02","2","1996","10","16957,6"
"02","2","1996","11","17139,9"
"02","2","1996","12","17405"
"02","2","1997","1","100"
"02","2","1997","2","100"
"02","2","1997","3","100"
"02","2","1997","4","100"
"02","2","1997","5","100"
"02","2","1997","6","100"
"02","2","1997","7","100"
"02","2","1997","8","100"
"02","2","1997","9","100"
"02","2","1997","10","100"
"02","2","1997","11","100"
"02","2","1997","12","100"
"02","2","1998","1","23287"
"02","2","1998","2","24307,1"
"02","2","1998","3","24786,9"
"02","2","1998","4","25040,6"
"02","2","1998","5","25498"
"02","2","1998","6","26271,7"
"02","2","1998","7","26925,9"
"02","2","1998","8","27690,3"
"02","2","1998","9","28582"
"02","2","1998","10","28582,1"
"02","2","1998","11","28777,3"
"02","2","1998","12","28783,9"
"02","2","1999","1","28783,9"
"02","2","1999","2","29096,8"
"02","2","1999","3","29115,1"
"02","2","1999","4","29115,1"
"02","2","1999","5","29115,1"
"02","2","1999","6","30887,1"
"02","2","1999","7","31045,2"
"02","2","1999","8","31045,2"
"02","2","1999","9","31846,8"
"02","2","1999","10","32050,6"
"02","2","1999","11","32050,6"
"02","2","1999","12","32050,6"
"02","2","2000","1","27974"
"02","2","2000","2","29376,9"
"02","2","2000","3","29415,4"
"02","2","2000","4","30237,5"
"02","2","2000","5","30375,4"
"02","2","2000","6","30496,6"
